站點名稱,預計到站時間,連結
三安里,,stop.jsp?sid=36040
長壽西街口,,stop.jsp?sid=36041
長元西街口,,stop.jsp?sid=36042
正義重新路口,,stop.jsp?sid=36043
天台廣場,,stop.jsp?sid=36044
大同路口,,stop.jsp?sid=36045
中山藝術公園,,stop.jsp?sid=36046
捷運菜寮站,,stop.jsp?sid=218023
過圳街,,stop.jsp?sid=36047
三重區公所(過圳街),,stop.jsp?sid=36048
三重稅捐分處,,stop.jsp?sid=36049
菜寮(重陽路),,stop.jsp?sid=36050
集美國小,,stop.jsp?sid=36051
三重國民運動中心,,stop.jsp?sid=36052
三重中學,,stop.jsp?sid=36053
重安街口,,stop.jsp?sid=36054
臺北車站(忠孝),,stop.jsp?sid=36055
捷運善導寺站,,stop.jsp?sid=36056
華山文創園區,,stop.jsp?sid=36057
忠孝國小,,stop.jsp?sid=36058
臺北科技大學(忠孝),,stop.jsp?sid=36059
正義郵局,,stop.jsp?sid=36060
懷生國中,,stop.jsp?sid=36061
頂好市場,,stop.jsp?sid=36063
捷運忠孝敦化站,,stop.jsp?sid=36064
阿波羅大廈,,stop.jsp?sid=36065
交通部觀光署,,stop.jsp?sid=36066
捷運國父紀念館站(忠孝),,stop.jsp?sid=36067
聯合報,,stop.jsp?sid=36068
捷運市政府站,,stop.jsp?sid=36069
市立工農,,stop.jsp?sid=36070
捷運永春站(忠孝),,stop.jsp?sid=36071
捷運永春站(松山),,stop.jsp?sid=36072
雙永國小,,stop.jsp?sid=36073
永吉松山路口,,stop.jsp?sid=36074
松山車站(松山),,stop.jsp?sid=36075
虎林街口,,stop.jsp?sid=36077
永吉國中,,stop.jsp?sid=36078
松隆路口,,stop.jsp?sid=36079
松山高中(松隆),,stop.jsp?sid=36080
聯合報,,stop.jsp?sid=36081
捷運國父紀念館站(忠孝),,stop.jsp?sid=36082
交通部觀光署,,stop.jsp?sid=36083
阿波羅大廈,,stop.jsp?sid=36084
捷運忠孝敦化站,,stop.jsp?sid=36085
頂好市場,,stop.jsp?sid=36086
捷運忠孝復興站,,stop.jsp?sid=36087
正義郵局,,stop.jsp?sid=36088
臺北科技大學(忠孝),,stop.jsp?sid=36089
忠孝國小,,stop.jsp?sid=36090
華山文創園區,,stop.jsp?sid=36091
捷運善導寺站,,stop.jsp?sid=36092
臺北車站(忠孝),,stop.jsp?sid=36093
重安街口,,stop.jsp?sid=36094
三重中學,,stop.jsp?sid=36095
三重國民運動中心,,stop.jsp?sid=36096
集美國小,,stop.jsp?sid=36097
菜寮(重新路),,stop.jsp?sid=36098
捷運菜寮站,,stop.jsp?sid=36099
中山藝術公園,,stop.jsp?sid=56960
大同路口,,stop.jsp?sid=36100
正義重新路口,,stop.jsp?sid=36101
長元西街口,,stop.jsp?sid=36102
長壽西街口,,stop.jsp?sid=36103
三安里,,stop.jsp?sid=36104
龍門路口,,stop.jsp?sid=36105
德林寺(三和路),,stop.jsp?sid=36106
厚德派出所,,stop.jsp?sid=36108
格致中學(三和路),,stop.jsp?sid=36109
三和國中,,stop.jsp?sid=36110
捷運三和國中站,,stop.jsp?sid=129829
建和新村,,stop.jsp?sid=36111
幸福市場,,stop.jsp?sid=36112
捷運徐匯中學站,,stop.jsp?sid=36113
民和公寓,,stop.jsp?sid=36114
溪墘,,stop.jsp?sid=36115
蘆洲派出所,,stop.jsp?sid=36116
蘆洲監理站(中正路),,stop.jsp?sid=36117
蘆洲國小,,stop.jsp?sid=36118
中原公寓,,stop.jsp?sid=36119
空中大學(中正路),,stop.jsp?sid=36120
王爺廟口,,stop.jsp?sid=36121
蘆洲總站,,stop.jsp?sid=36122
去程 (往松山車站),返程 (往蘆洲),
"蘆洲總站
王爺廟口
空中大學(中正路)
中原公寓
蘆洲國小
蘆洲監理站
蘆洲派出所
溪墘
捷運徐匯中學站
徐匯中學
幸福市場
建和新村
捷運三和國中站
三和國中
格致中學(三和路)
厚德派出所
德林寺(三和路)
龍門路口
三安里
長壽西街口
長元西街口
正義重新路口
天台廣場
大同路口
中山藝術公園
捷運菜寮站
過圳街
三重區公所(過圳街)
三重稅捐分處
菜寮(重陽路)
集美國小
三重國民運動中心
三重中學
重安街口
臺北車站(忠孝)
捷運善導寺站
華山文創園區
忠孝國小
臺北科技大學(忠孝)
正義郵局
懷生國中
頂好市場
捷運忠孝敦化站
阿波羅大廈
交通部觀光署
捷運國父紀念館站(忠孝)
聯合報
捷運市政府站
市立工農
捷運永春站(忠孝)
捷運永春站(松山)
雙永國小
永吉松山路口
松山車站(松山)",蘆洲總站,stop.jsp?sid=36021
蘆洲總站,,stop.jsp?sid=36021
王爺廟口,,stop.jsp?sid=36022
空中大學(中正路),,stop.jsp?sid=36023
中原公寓,,stop.jsp?sid=36024
蘆洲國小,,stop.jsp?sid=36025
蘆洲監理站,,stop.jsp?sid=36026
蘆洲派出所,,stop.jsp?sid=36027
溪墘,,stop.jsp?sid=36028
捷運徐匯中學站,,stop.jsp?sid=36029
徐匯中學,,stop.jsp?sid=36030
幸福市場,,stop.jsp?sid=36031
建和新村,,stop.jsp?sid=36032
捷運三和國中站,,stop.jsp?sid=129828
三和國中,,stop.jsp?sid=36033
格致中學(三和路),,stop.jsp?sid=36034
厚德派出所,,stop.jsp?sid=36036
德林寺(三和路),,stop.jsp?sid=36038
龍門路口,,stop.jsp?sid=36039
三安里,,stop.jsp?sid=36040
長壽西街口,,stop.jsp?sid=36041
長元西街口,,stop.jsp?sid=36042
正義重新路口,,stop.jsp?sid=36043
天台廣場,,stop.jsp?sid=36044
大同路口,,stop.jsp?sid=36045
中山藝術公園,,stop.jsp?sid=36046
捷運菜寮站,,stop.jsp?sid=218023
過圳街,,stop.jsp?sid=36047
三重區公所(過圳街),,stop.jsp?sid=36048
三重稅捐分處,,stop.jsp?sid=36049
菜寮(重陽路),,stop.jsp?sid=36050
集美國小,,stop.jsp?sid=36051
三重國民運動中心,,stop.jsp?sid=36052
三重中學,,stop.jsp?sid=36053
重安街口,,stop.jsp?sid=36054
臺北車站(忠孝),,stop.jsp?sid=36055
捷運善導寺站,,stop.jsp?sid=36056
華山文創園區,,stop.jsp?sid=36057
忠孝國小,,stop.jsp?sid=36058
臺北科技大學(忠孝),,stop.jsp?sid=36059
正義郵局,,stop.jsp?sid=36060
懷生國中,,stop.jsp?sid=36061
頂好市場,,stop.jsp?sid=36063
捷運忠孝敦化站,,stop.jsp?sid=36064
阿波羅大廈,,stop.jsp?sid=36065
交通部觀光署,,stop.jsp?sid=36066
捷運國父紀念館站(忠孝),,stop.jsp?sid=36067
聯合報,,stop.jsp?sid=36068
捷運市政府站,,stop.jsp?sid=36069
市立工農,,stop.jsp?sid=36070
捷運永春站(忠孝),,stop.jsp?sid=36071
捷運永春站(松山),,stop.jsp?sid=36072
雙永國小,,stop.jsp?sid=36073
永吉松山路口,,stop.jsp?sid=36074
松山車站(松山),,stop.jsp?sid=36075
虎林街口,,stop.jsp?sid=36077
永吉國中,,stop.jsp?sid=36078
松隆路口,,stop.jsp?sid=36079
松山高中(松隆),,stop.jsp?sid=36080
聯合報,,stop.jsp?sid=36081
捷運國父紀念館站(忠孝),,stop.jsp?sid=36082
交通部觀光署,,stop.jsp?sid=36083
阿波羅大廈,,stop.jsp?sid=36084
捷運忠孝敦化站,,stop.jsp?sid=36085
頂好市場,,stop.jsp?sid=36086
捷運忠孝復興站,,stop.jsp?sid=36087
正義郵局,,stop.jsp?sid=36088
臺北科技大學(忠孝),,stop.jsp?sid=36089
忠孝國小,,stop.jsp?sid=36090
華山文創園區,,stop.jsp?sid=36091
捷運善導寺站,,stop.jsp?sid=36092
臺北車站(忠孝),,stop.jsp?sid=36093
重安街口,,stop.jsp?sid=36094
三重中學,,stop.jsp?sid=36095
三重國民運動中心,,stop.jsp?sid=36096
集美國小,,stop.jsp?sid=36097
菜寮(重新路),,stop.jsp?sid=36098
捷運菜寮站,,stop.jsp?sid=36099
中山藝術公園,,stop.jsp?sid=56960
大同路口,,stop.jsp?sid=36100
正義重新路口,,stop.jsp?sid=36101
長元西街口,,stop.jsp?sid=36102
長壽西街口,,stop.jsp?sid=36103
三安里,,stop.jsp?sid=36104
龍門路口,,stop.jsp?sid=36105
德林寺(三和路),,stop.jsp?sid=36106
厚德派出所,,stop.jsp?sid=36108
格致中學(三和路),,stop.jsp?sid=36109
三和國中,,stop.jsp?sid=36110
捷運三和國中站,,stop.jsp?sid=129829
建和新村,,stop.jsp?sid=36111
幸福市場,,stop.jsp?sid=36112
捷運徐匯中學站,,stop.jsp?sid=36113
民和公寓,,stop.jsp?sid=36114
溪墘,,stop.jsp?sid=36115
蘆洲派出所,,stop.jsp?sid=36116
蘆洲監理站(中正路),,stop.jsp?sid=36117
蘆洲國小,,stop.jsp?sid=36118
中原公寓,,stop.jsp?sid=36119
空中大學(中正路),,stop.jsp?sid=36120
王爺廟口,,stop.jsp?sid=36121
蘆洲總站,,stop.jsp?sid=36122
蘆洲總站,,stop.jsp?sid=36021
王爺廟口,,stop.jsp?sid=36022
空中大學(中正路),,stop.jsp?sid=36023
中原公寓,,stop.jsp?sid=36024
蘆洲國小,,stop.jsp?sid=36025
蘆洲監理站,,stop.jsp?sid=36026
蘆洲派出所,,stop.jsp?sid=36027
溪墘,,stop.jsp?sid=36028
捷運徐匯中學站,,stop.jsp?sid=36029
徐匯中學,,stop.jsp?sid=36030
幸福市場,,stop.jsp?sid=36031
建和新村,,stop.jsp?sid=36032
捷運三和國中站,,stop.jsp?sid=129828
三和國中,,stop.jsp?sid=36033
格致中學(三和路),,stop.jsp?sid=36034
厚德派出所,,stop.jsp?sid=36036
德林寺(三和路),,stop.jsp?sid=36038
龍門路口,,stop.jsp?sid=36039
三安里,,stop.jsp?sid=36040
長壽西街口,,stop.jsp?sid=36041
長元西街口,,stop.jsp?sid=36042
正義重新路口,,stop.jsp?sid=36043
天台廣場,,stop.jsp?sid=36044
大同路口,,stop.jsp?sid=36045
中山藝術公園,,stop.jsp?sid=36046
捷運菜寮站,,stop.jsp?sid=218023
過圳街,,stop.jsp?sid=36047
三重區公所(過圳街),,stop.jsp?sid=36048
三重稅捐分處,,stop.jsp?sid=36049
菜寮(重陽路),,stop.jsp?sid=36050
集美國小,,stop.jsp?sid=36051
三重國民運動中心,,stop.jsp?sid=36052
三重中學,,stop.jsp?sid=36053
重安街口,,stop.jsp?sid=36054
臺北車站(忠孝),,stop.jsp?sid=36055
捷運善導寺站,,stop.jsp?sid=36056
華山文創園區,,stop.jsp?sid=36057
忠孝國小,,stop.jsp?sid=36058
臺北科技大學(忠孝),,stop.jsp?sid=36059
正義郵局,,stop.jsp?sid=36060
懷生國中,,stop.jsp?sid=36061
頂好市場,,stop.jsp?sid=36063
捷運忠孝敦化站,,stop.jsp?sid=36064
阿波羅大廈,,stop.jsp?sid=36065
交通部觀光署,,stop.jsp?sid=36066
捷運國父紀念館站(忠孝),,stop.jsp?sid=36067
聯合報,,stop.jsp?sid=36068
捷運市政府站,,stop.jsp?sid=36069
市立工農,,stop.jsp?sid=36070
捷運永春站(忠孝),,stop.jsp?sid=36071
捷運永春站(松山),,stop.jsp?sid=36072
雙永國小,,stop.jsp?sid=36073
永吉松山路口,,stop.jsp?sid=36074
松山車站(松山),,stop.jsp?sid=36075
虎林街口,,stop.jsp?sid=36077
永吉國中,,stop.jsp?sid=36078
松隆路口,,stop.jsp?sid=36079
松山高中(松隆),,stop.jsp?sid=36080
聯合報,,stop.jsp?sid=36081
捷運國父紀念館站(忠孝),,stop.jsp?sid=36082
交通部觀光署,,stop.jsp?sid=36083
阿波羅大廈,,stop.jsp?sid=36084
捷運忠孝敦化站,,stop.jsp?sid=36085
頂好市場,,stop.jsp?sid=36086
捷運忠孝復興站,,stop.jsp?sid=36087
正義郵局,,stop.jsp?sid=36088
臺北科技大學(忠孝),,stop.jsp?sid=36089
忠孝國小,,stop.jsp?sid=36090
華山文創園區,,stop.jsp?sid=36091
捷運善導寺站,,stop.jsp?sid=36092
臺北車站(忠孝),,stop.jsp?sid=36093
重安街口,,stop.jsp?sid=36094
三重中學,,stop.jsp?sid=36095
三重國民運動中心,,stop.jsp?sid=36096
集美國小,,stop.jsp?sid=36097
菜寮(重新路),,stop.jsp?sid=36098
捷運菜寮站,,stop.jsp?sid=36099
中山藝術公園,,stop.jsp?sid=56960
大同路口,,stop.jsp?sid=36100
正義重新路口,,stop.jsp?sid=36101
長元西街口,,stop.jsp?sid=36102
長壽西街口,,stop.jsp?sid=36103
三安里,,stop.jsp?sid=36104
龍門路口,,stop.jsp?sid=36105
德林寺(三和路),,stop.jsp?sid=36106
厚德派出所,,stop.jsp?sid=36108
格致中學(三和路),,stop.jsp?sid=36109
三和國中,,stop.jsp?sid=36110
捷運三和國中站,,stop.jsp?sid=129829
建和新村,,stop.jsp?sid=36111
幸福市場,,stop.jsp?sid=36112
捷運徐匯中學站,,stop.jsp?sid=36113
民和公寓,,stop.jsp?sid=36114
溪墘,,stop.jsp?sid=36115
蘆洲派出所,,stop.jsp?sid=36116
蘆洲監理站(中正路),,stop.jsp?sid=36117
蘆洲國小,,stop.jsp?sid=36118
中原公寓,,stop.jsp?sid=36119
空中大學(中正路),,stop.jsp?sid=36120
王爺廟口,,stop.jsp?sid=36121
蘆洲總站,,stop.jsp?sid=36122
:一般公車,:低地板公車,
:舒適,:中等,
