RouteUID,RouteNameZh,Direction,StopSequence,StopUID,StopNameZh
TPE10417,忠孝幹線,0,19,TPE36040,三安里
TPE10417,忠孝幹線,0,20,TPE36041,長壽西街口
TPE10417,忠孝幹線,0,21,TPE36042,長元西街口
TPE10417,忠孝幹線,0,22,TPE36043,正義重新路口
TPE10417,忠孝幹線,0,23,TPE36044,天台廣場
TPE10417,忠孝幹線,0,24,TPE36045,大同路口
TPE10417,忠孝幹線,0,25,TPE36046,中山藝術公園
TPE10417,忠孝幹線,0,26,TPE218023,捷運菜寮站
TPE10417,忠孝幹線,0,27,TPE36047,過圳街
TPE10417,忠孝幹線,0,28,TPE36048,三重區公所(過圳街)
TPE10417,忠孝幹線,0,29,TPE36049,三重稅捐分處
TPE10417,忠孝幹線,0,30,TPE36050,菜寮(重陽路)
TPE10417,忠孝幹線,0,31,TPE36051,集美國小
TPE10417,忠孝幹線,0,32,TPE36052,三重國民運動中心
TPE10417,忠孝幹線,0,33,TPE36053,三重中學
TPE10417,忠孝幹線,0,34,TPE36054,重安街口
TPE10417,忠孝幹線,0,35,TPE36055,臺北車站(忠孝)
TPE10417,忠孝幹線,0,36,TPE36056,捷運善導寺站
TPE10417,忠孝幹線,0,37,TPE36057,華山文創園區
TPE10417,忠孝幹線,0,38,TPE36058,忠孝國小
