"AuthorityCode","AuthorityName","RouteUID","RouteID","RouteNameZh","SubRouteUID","SubRouteID","SubRouteNameZh","OperatorName","Headsign","Direction"
"TPE","臺北市","TPE11055","11055","小2","TPE110550","110550","小2","東南客運","-","0"
"TPE","臺北市","TPE11055","11055","小2","TPE110550","110550","小2","東南客運","-","1"
"TPE","臺北市","TPE11056","11056","552","TPE110560","110560","552","東南客運","-","0"
"TPE","臺北市","TPE11056","11056","552","TPE110560","110560","552","東南客運","-","1"
"TPE","臺北市","TPE11057","11057","小2區","TPE110570","110570","小2區","東南客運","-","0"
"TPE","臺北市","TPE11057","11057","小2區","TPE110570","110570","小2區","東南客運","-","1"
"TPE","臺北市","TPE11058","11058","小3","TPE110580","110580","小3","東南客運","-","0"
"TPE","臺北市","TPE11058","11058","小3","TPE110580","110580","小3","東南客運","-","1"
"TPE","臺北市","TPE11059","11059","小5","TPE110590","110590","小5","東南客運","-","0"
"TPE","臺北市","TPE11059","11059","小5","TPE110590","110590","小5","東南客運","-","1"
"TPE","臺北市","TPE11061","11061","小5區","TPE110610","110610","小5區","東南客運","-","0"
"TPE","臺北市","TPE11061","11061","小5區","TPE110610","110610","小5區","東南客運","-","1"
"TPE","臺北市","TPE11062","11062","小1區","TPE110620","110620","小1區","東南客運","-","0"
"TPE","臺北市","TPE11062","11062","小1區","TPE110620","110620","小1區","東南客運","-","1"
"TPE","臺北市","TPE11062","11062","小1區","TPE110630","110630","小1區經康寧","東南客運","-","0"
"TPE","臺北市","TPE11062","11062","小1區","TPE110630","110630","小1區經康寧","東南客運","-","1"
"TPE","臺北市","TPE11064","11064","小36","TPE110640","110640","小36","大南汽車","-","0"
"TPE","臺北市","TPE11064","11064","小36","TPE110640","110640","小36","大南汽車","-","1"
"TPE","臺北市","TPE11064","11064","小36","TPE111330","111330","小36經中山","大南汽車","-","0"
"TPE","臺北市","TPE11064","11064","小36","TPE111330","111330","小36經中山","大南汽車","-","1"
"TPE","臺北市","TPE11066","11066","32","TPE110660","110660","32","大都會客運","-","0"
"TPE","臺北市","TPE11066","11066","32","TPE110660","110660","32","大都會客運","-","1"
"TPE","臺北市","TPE11071","11071","小10","TPE110710","110710","小10經指南宮","東南客運","-","0"
"TPE","臺北市","TPE11071","11071","小10","TPE110710","110710","小10經指南宮","東南客運","-","1"
"TPE","臺北市","TPE11071","11071","小10","TPE110720","110720","小10","東南客運","-","0"
"TPE","臺北市","TPE11071","11071","小10","TPE110720","110720","小10","東南客運","-","1"
"TPE","臺北市","TPE11073","11073","小11","TPE110730","110730","小11","東南客運","-","0"
"TPE","臺北市","TPE11073","11073","小11","TPE110730","110730","小11","東南客運","-","1"
"TPE","臺北市","TPE11073","11073","小11","TPE157882","157882","小11經救千宮","東南客運","-","0"
"TPE","臺北市","TPE11073","11073","小11","TPE157882","157882","小11經救千宮","東南客運","-","1"
"TPE","臺北市","TPE11073","11073","小11","TPE157883","157883","小11經捷運七張站","東南客運","-","0"
"TPE","臺北市","TPE11073","11073","小11","TPE157883","157883","小11經捷運七張站","東南客運","-","1"
"TPE","臺北市","TPE11091","11091","37","TPE11091","11091","37","大都會客運","-","0"
"TPE","臺北市","TPE11091","11091","37","TPE11091","11091","37","大都會客運","-","1"
"TPE","臺北市","TPE11093","11093","612","TPE11093","11093","612","大都會客運","-","0"
"TPE","臺北市","TPE11093","11093","612","TPE11093","11093","612","大都會客運","-","1"
"TPE","臺北市","TPE11111","11111","藍27","TPE11111","11111","藍27","大南汽車","-","0"
"TPE","臺北市","TPE11111","11111","藍27","TPE11111","11111","藍27","大南汽車","-","1"
"TPE","臺北市","TPE11111","11111","藍27","TPE157692","157692","藍27(僅往程)","大南汽車","-","0"
"TPE","臺北市","TPE11111","11111","藍27","TPE157693","157693","藍27(僅返程)","大南汽車","-","1"
"TPE","臺北市","TPE11114","11114","551","TPE157763","157763","551不繞駛行善路不經金龍禪寺","大南汽車","-","0"
"TPE","臺北市","TPE11114","11114","551","TPE157763","157763","551不繞駛行善路不經金龍禪寺","大南汽車","-","1"
"TPE","臺北市","TPE11114","11114","551","TPE157815","157815","551不繞駛行善路經金龍禪寺","大南汽車","-","0"
"TPE","臺北市","TPE11114","11114","551","TPE157815","157815","551不繞駛行善路經金龍禪寺","大南汽車","-","1"
"TPE","臺北市","TPE11114","11114","551","TPE161418","161418","551繞駛行善路不經金龍禪寺","大南汽車","-","0"
"TPE","臺北市","TPE11114","11114","551","TPE161418","161418","551繞駛行善路不經金龍禪寺","大南汽車","-","1"
"TPE","臺北市","TPE11114","11114","551","TPE161419","161419","551繞駛行善路經金龍寺","大南汽車","-","0"
"TPE","臺北市","TPE11114","11114","551","TPE161419","161419","551繞駛行善路經金龍寺","大南汽車","-","1"
"TPE","臺北市","TPE11121","11121","紅35","TPE11121","11121","紅35","大南汽車","-","0"
"TPE","臺北市","TPE11121","11121","紅35","TPE11121","11121","紅35","大南汽車","-","1"
"TPE","臺北市","TPE11122","11122","小23","TPE111220","111220","小23","大南汽車","-","0"
"TPE","臺北市","TPE11122","11122","小23","TPE111220","111220","小23","大南汽車","-","1"
"TPE","臺北市","TPE11122","11122","小23","TPE162439","162439","小23假日區間","大南汽車","-","0"
"TPE","臺北市","TPE11122","11122","小23","TPE162439","162439","小23假日區間","大南汽車","-","1"
"TPE","臺北市","TPE11123","11123","550","TPE111230","111230","550","大南汽車","-","0"
"TPE","臺北市","TPE11123","11123","550","TPE111230","111230","550","大南汽車","-","1"
"TPE","臺北市","TPE11124","11124","223","TPE111240","111240","223","大南汽車","-","0"
"TPE","臺北市","TPE11124","11124","223","TPE111240","111240","223","大南汽車","-","1"
"TPE","臺北市","TPE11124","11124","223","TPE162398","162398","223繞駛青年社宅","大南汽車","-","0"
"TPE","臺北市","TPE11124","11124","223","TPE162398","162398","223繞駛青年社宅","大南汽車","-","1"
"TPE","臺北市","TPE11125","11125","302","TPE111250","111250","302路","大南汽車","-","0"
"TPE","臺北市","TPE11125","11125","302","TPE111250","111250","302路","大南汽車","-","1"
"TPE","臺北市","TPE11125","11125","302","TPE161128","161128","302狗狗公車","大南汽車","-","0"
"TPE","臺北市","TPE11125","11125","302","TPE161128","161128","302狗狗公車","大南汽車","-","1"
"TPE","臺北市","TPE11134","11134","小8","TPE111340","111340","小8","大南汽車","-","0"
"TPE","臺北市","TPE11134","11134","小8","TPE111340","111340","小8","大南汽車","-","1"
"TPE","臺北市","TPE11135","11135","小14","TPE111350","111350","小14","大南汽車","-","0"
"TPE","臺北市","TPE11135","11135","小14","TPE111350","111350","小14","大南汽車","-","1"
"TPE","臺北市","TPE11136","11136","小21","TPE111360","111360","小21","大南汽車","-","0"
"TPE","臺北市","TPE11136","11136","小21","TPE111360","111360","小21","大南汽車","-","1"
"TPE","臺北市","TPE11136","11136","小21","TPE161317","161317","小21經立農國小一","大南汽車","-","0"
"TPE","臺北市","TPE11136","11136","小21","TPE161317","161317","小21經立農國小一","大南汽車","-","1"
"TPE","臺北市","TPE11137","11137","小22","TPE111370","111370","小22","大南汽車","-","0"
"TPE","臺北市","TPE11137","11137","小22","TPE111370","111370","小22","大南汽車","-","1"
"TPE","臺北市","TPE11138","11138","小25","TPE111380","111380","小25","大南汽車","-","0"
"TPE","臺北市","TPE11138","11138","小25","TPE111380","111380","小25","大南汽車","-","1"
"TPE","臺北市","TPE11138","11138","小25","TPE155906","155906","小25經馬場","大南汽車","-","0"
"TPE","臺北市","TPE11138","11138","小25","TPE155906","155906","小25經馬場","大南汽車","-","1"
"TPE","臺北市","TPE11139","11139","小6","TPE111390","111390","小6不經永春橋","大南汽車","-","0"
"TPE","臺北市","TPE11139","11139","小6","TPE111390","111390","小6不經永春橋","大南汽車","-","1"
"TPE","臺北市","TPE11139","11139","小6","TPE159382","159382","小6經永春橋","大南汽車","-","0"
"TPE","臺北市","TPE11139","11139","小6","TPE159382","159382","小6經永春橋","大南汽車","-","1"
"TPE","臺北市","TPE11141","11141","216","TPE11141","11141","216","大南汽車","-","0"
"TPE","臺北市","TPE11141","11141","216","TPE11141","11141","216","大南汽車","-","1"
"TPE","臺北市","TPE11142","11142","小9(台灣好行-北投竹子湖)","TPE111420","111420","小9","大南汽車","-","0"
"TPE","臺北市","TPE11142","11142","小9(台灣好行-北投竹子湖)","TPE111420","111420","小9","大南汽車","-","1"
"TPE","臺北市","TPE11143","11143","小26","TPE111430","111430","小26","大南汽車","-","0"
"TPE","臺北市","TPE11143","11143","小26","TPE111430","111430","小26","大南汽車","-","1"
"TPE","臺北市","TPE11145","11145","小7","TPE111410","111410","小7經嶺腳珠海路","大南汽車","-","0"
