BSM_BUSSTO,BSM_CHINES,geometry
870,新安路二,POINT (121.553318363466 25.1244084316679)
251,陽明公園服務�,POINT (121.5398 25.15666)
587,士東路,POINT (121.53663 25.113196)
1001409,政大一,POINT (121.576009 24.987797)
1001342,興旺公園,POINT (121.54949362068 25.0049451494336)
4893,蘭雅國小,POINT (121.523130347221 25.1079570999445)
4871,利陽藝術學苑,POINT (121.464593216292 25.1276562157146)
2561,向陽公園,POINT (121.592978 25.057303)
4841,安泰橋,POINT (121.61381 25.07792)
1000758,財政大樓,POINT (121.51568030581 25.0333809759619)
18010,圓山,POINT (121.60048 24.970103)
1000349,石牌,POINT (121.51222 25.110091)
1733,人壽一村,POINT (121.489337 25.032065)
1001266,田尾湖,POINT (121.564943 25.161537)
563,下竹林,POINT (121.547588554213 25.1293782727885)
1001400,政大一,POINT (121.576384 24.98828)
1909,臺北商大(杭州),POINT (121.526368 25.04197)
389,捷運國父紀念�,POINT (121.55901 25.04145)
50685,聯合醫院婦幼�,POINT (121.517979075109 25.0299293982353)
557,山仔后,POINT (121.546840131564 25.1380615748769)
901,碧溪橋,POINT (121.57392 25.11616)
1000904,大佳河濱公園,POINT (121.544035467028 25.0739722235802)
339,國防醫學中心,POINT (121.590031196316 25.0712104683315)
1001361,天山里,POINT (121.533459 25.11981)
625,公館地,POINT (121.55988 25.12548)
20293,寶藏巖,POINT (121.53590852127 25.0114333407263)
1000607,天母里,POINT (121.534967 25.126156)
2406,考試院,POINT (121.549734 24.987303)
4000,玉成國小,POINT (121.592800257746 25.0543845192365)
450,集應廟,POINT (121.489860552554 25.1423265533076)
20251,吳興國小(莊敬),POINT (121.568057626984 25.0266751772425)
56,中央南路,POINT (121.501444 25.132225)
4009,黃石公廟,POINT (121.60702 25.07762)
1052,馬槽,POINT (121.561767817455 25.1806419249261)
1001369,中行里,POINT (121.584810898148 25.040172258)
1000807,財政園區,POINT (121.54090231034 24.995846)
1044,東湖社區,POINT (121.618806977809 25.0696869667937)
57713,猴山坑,POINT (121.589447 24.98279)
1741,內江街,POINT (121.50513239881 25.041538182213)
5051,芬第社區,POINT (121.59621681641 25.0583673938661)
1000410,大磺嘴,POINT (121.522414 25.142474)
2028,101國際購物中�,POINT (121.565403 25.034314)
1689,香檳新村,POINT (121.586563 25.043806)
4998,災害應變中心,POINT (121.564797 25.029024)
1000222,潭美國小(舊宗),POINT (121.581074 25.057957)
2429,風動石,POINT (121.579255519338 25.0012952299657)
935,錫安堂,POINT (121.549515136465 25.1494757279871)
60143,燒庚寮,POINT (121.556933273068 25.1317903902635)
2494,萬芳國小,POINT (121.567299114837 25.001460274794)
50042,臺北車站(鄭州),POINT (121.517464183286 25.0487966693577)
97,天寶聖道宮,POINT (121.565248 25.168124)
50653,忠誠路口,POINT (121.535258112672 25.1180454813635)
2169,廣安宮,POINT (121.56335 25.02332)
558,山仔后派出所,POINT (121.545792824592 25.1346475689954)
50655,天母國小,POINT (121.52615807606 25.118950713724)
1266,明水路一,POINT (121.55175 25.08281)
401,北藝大圖書館,POINT (121.471359919113 25.1349002977644)
13116,敦化和平路口,POINT (121.548426273164 25.0235365798636)
4083,捷運文德站(碧�,POINT (121.584124027009 25.0784466220812)
1000615,華興中學,POINT (121.538359 25.104113)
15107,自來水處(辛亥),POINT (121.548282 25.018051)
55012,公館里,POINT (121.56473 25.12663)
4996,三總內湖站(急�,POINT (121.593893294783 25.0707796580106)
239,明德國中,POINT (121.517708 25.107279)
8532,康寧派出所,POINT (121.597895137295 25.0811160729805)
200000038,內湖健康服務�,POINT (121.58926 25.070908)
50052,萬芳派出所,POINT (121.565971898405 25.0017903634324)
5050,溫歌華社區,POINT (121.593643253478 25.0583836427382)
1000622,白雲山莊,POINT (121.551545612354 25.1230131689451)
1001256,大春山莊,POINT (121.568837 24.967357)
1000115,陽明高中,POINT (121.517339724079 25.0920057592142)
1740,中正新城,POINT (121.503183945666 25.0248005786137)
914,士林市場(銘傳�,POINT (121.523657 25.08818)
1000211,五分埤,POINT (121.621188834486 25.0761334864734)
4028,司法新村,POINT (121.566535947104 24.9831000846765)
644,天母新村,POINT (121.531344 25.121342)
5048,潭美公園,POINT (121.585738658898 25.0591847971661)
1000252,南港軟體園區�,POINT (121.613920889394 25.0565852025479)
9408,中央站,POINT (121.561404 25.107506)
296,泉源國小宿舍,POINT (121.52536 25.1505703804515)
2266,空軍總部,POINT (121.538033149434 25.040593)
3966,中央北路三段,POINT (121.48193288446 25.1368858501904)
1488,八德敦化路口,POINT (121.548781701713 25.0486248881535)
1280,長安松江路口,POINT (121.532928644991 25.0486917799756)
1569,基隆路口二,POINT (121.568142148282 25.0477317055342)
8523,內湖高中,POINT (121.588331528669 25.0790264036408)
15114,永春國小,POINT (121.577906954135 25.0450053957754)
167,竹子湖,POINT (121.5339 25.172111)
4190,磺仔外,POINT (121.54527286612 25.1605238674788)
1759,西藏路口,POINT (121.500457 25.02899)
958,雙溪國小,POINT (121.563185859385 25.1062790172398)
1267,明水路二,POINT (121.55208301131 25.0794888510581)
1000773,榮星花園,POINT (121.537546056759 25.0633460603116)
1800,華中河濱公園,POINT (121.496094355207 25.0171711735736)
1000270,土地公廟,POINT (121.596292330392 25.0543174926906)
1000723,捷運西湖站,POINT (121.565868 25.082421)
3926,永春里（忠孝�,POINT (121.578902 25.041273)
50430,新明路,POINT (121.585446060744 25.0572278733484)
1180,大直國小,POINT (121.545315358907 25.0797115913826)
2458,景明街口,POINT (121.542204498952 25.0015481426295)
2497,萬芳路口,POINT (121.571356876824 24.9938868495042)
1000524,忠順街,POINT (121.558900229887 24.9842004597734)
2360,羅斯福浦城街�,POINT (121.526617182814 25.0223406989001)
6657,臺北大學(臺北�,POINT (121.537323479071 25.056599157435)
10207,劍潭國小,POINT (121.522825921173 25.0809326286684)
1000930,河濱公園大佳�,POINT (121.540724229887 25.0727309195469)
13112,信義敦化路口,POINT (121.548649185422 25.0337127529064)
1001142,南京舊宗路口,POINT (121.579831960133 25.0559849118163)
8624,涼州重慶路口,POINT (121.513509342762 25.060980060423)
36111,名門社區,POINT (121.567925440283 25.0048112900362)
56099,復興派出所,POINT (121.5464 24.986892)
1049,明湖國小(公共�,POINT (121.609320074507 25.0716328345384)
3912,捷運龍山寺站,POINT (121.50015 25.035396)
1486,雙連市場,POINT (121.516425770782 25.0570465834727)
896,福林國小,POINT (121.52906 25.09592)
1000666,中影八德大樓,POINT (121.540979229887 25.0470331494336)
1000205,內湖焚化廠(葫�,POINT (121.603466 25.062478)
1242,民權建國路口,POINT (121.536509125166 25.0623487858071)
1806,貴陽街,POINT (121.50582384788 25.03944952637)
6729,聯勤技術訓練�,POINT (121.571885 25.022585)
863,圓山皇宮大廈,POINT (121.523228055062 25.083468349993)
8601,時報廣場,POINT (121.583129808238 25.0685609459737)
2153,捷運永春站(忠�,POINT (121.575809 25.040733)
4086,聯合醫院忠孝�,POINT (121.584229738588 25.0475212158758)
200005013,捷運唭哩岸站1,POINT (121.506694701133 25.1203807011328)
1850,三元街口,POINT (121.509121 25.029992)
2423,貓纜指南宮站,POINT (121.58985 24.97869)
1000288,德行東路,POINT (121.531865860045 25.1090332132898)
2445,捷運景美站,POINT (121.54072031034 24.9935227701133)
1040,西湖園,POINT (121.58100655953 25.08468198161)
390,捷運復興崗站,POINT (121.48526380622 25.138268490176)
1624,玉成國小,POINT (121.591947500007 25.0540714722885)
1244,民權敦化路口,POINT (121.547613530068 25.0620167205809)
3929,聯合報,POINT (121.562836469375 25.0413347067092)
4740,七海文化園區,POINT (121.535389 25.077815)
6950,龍口市場,POINT (121.509185131285 25.0283184527712)
1511,民權公園,POINT (121.557268868513 25.0619824640357)
1492,三民路,POINT (121.563409592875 25.0578123611562)
1868,仁愛紹興街口,POINT (121.523558583603 25.0382190652963)
2299,國北教大實小,POINT (121.54073768966 25.0255538390937)
1000316,捷運後山埤站(�,POINT (121.581802015481 25.0453970100532)
1761,桂林昆明街口,POINT (121.5043 25.0381)
15105,東興路,POINT (121.566731095381 25.0463641281063)
1000683,後車站,POINT (121.513492880946 25.0505035972946)
1000707,關渡宮,POINT (121.465117 25.117845)
1004,內湖運動公園,POINT (121.57451 25.06768)
1000618,士林官邸(中正),POINT (121.531488877316 25.0963082115133)
2492,萬芳派出所,POINT (121.566256708836 25.0017624091424)
2161,景新里,POINT (121.562316326577 25.0293388850842)
2404,木柵公園,POINT (121.560605636965 24.9870016656365)
20268,湖山村,POINT (121.615298820495 25.0744087589258)
1675,南港花園社區�,POINT (121.59352 25.039941)
1000045,公館,POINT (121.538530831111 25.0120963546845)
1544,長庚醫院,POINT (121.549269280626 25.0566807185285)
1255,自強隧道(大直�,POINT (121.549307259251 25.0837373733406)
16016,延平一站(南京),POINT (121.51130002943 25.053799726585)
6989,五常街口,POINT (121.544028964988 25.0636988887547)
1039,西湖國中,POINT (121.565601866433 25.0856229368208)
1170,大同大學,POINT (121.522300074206 25.0673)
1751,老松國小,POINT (121.502246060286 25.0382275213723)
2253,和平高中,POINT (121.547575 25.020175)
890,葫蘆堵市場,POINT (121.50999904145 25.0829737889795)
2310,捷運公館站,POINT (121.534086 25.015228)
9416,社區發展協會,POINT (121.5600570258 25.10937)
2254,和平高中,POINT (121.54746 25.01963)
562,土地公廟,POINT (121.560283385172 25.1496017899902)
1000548,捷運景美站,POINT (121.540790904579 24.992249117798)
4830,富台公園,POINT (121.572028498081 25.0420506453201)
2131,信義通化街口,POINT (121.553994124674 25.0330873803964)
3972,一德街口,POINT (121.46878900446 25.1283184382016)
20377,百齡國小,POINT (121.518596 25.0870371036857)
975,台北企業總部�,POINT (121.587646 25.058152)
50635,天母廣場,POINT (121.530774186508 25.1191316430047)
1277,欣欣大眾公司,POINT (121.525606013399 25.0535622304104)
561,三玉宮,POINT (121.53118435582 25.1179769291322)
1121,新明路,POINT (121.585144381182 25.0572849532508)
1179,大直高中,POINT (121.542211106329 25.0794938364147)
2431,海巡署,POINT (121.559376297448 24.9946704139026)
1173,大佳國小,POINT (121.536368939523 25.0723302205134)
1752,西門市場(成都),POINT (121.50665358531 25.042689544956)
4843,夢幻湖停車場,POINT (121.5624342553 25.16910869849)
754,前半嶺,POINT (121.568001 25.116555)
350,48號公園,POINT (121.512363 25.142739)
20400,三元街,POINT (121.512433226149 25.02774952552)
2240,地震研究中心,POINT (121.547978 25.015963)
2286,信義敦化路口,POINT (121.548107720129 25.033189872323)
20365,陽明瀑布,POINT (121.53633 25.15989)
6722,市政府(松智),POINT (121.565429238378 25.0368104626303)
4006,美仁里,POINT (121.553906097085 25.0482103259498)
938,礁坑,POINT (121.57552 25.11826)
10414,華泰飯店,POINT (121.524395105557 25.0578540508998)
1001250,龍門國中(和平),POINT (121.538617 25.0258213793203)
1000231,捷運科技大樓�,POINT (121.543183066506 25.026792268158)
8674,民權東路六段(�,POINT (121.598459244171 25.0672606626061)
444,陽明山,POINT (121.547328 25.152339)
50679,政大御花園,POINT (121.587354 24.986054)
1000692,捷運中山站(志�,POINT (121.519674930441 25.0527107746344)
200005024,捷運松江南京�,POINT (121.53381468966 25.0522119195469)
1779,崁頂,POINT (121.513152 25.025024)
20405,青年公園(正門),POINT (121.506325452586 25.021415564895)
1370,新喜里,POINT (121.532923080453 25.0669592298867)
56098,世新大學,POINT (121.544150800927 24.9885464077371)
2511,中國科技大學(�,POINT (121.554092 24.999501)
1457,酒泉街,POINT (121.513449932378 25.0721212218166)
635,天母,POINT (121.532716906746 25.1242999325407)
1489,三民健康路口(�,POINT (121.563654 25.055368)
1000356,捷運士林站(中�,POINT (121.525640431967 25.0949307705378)
1001458,水雲澗,POINT (121.543791626117 25.1646142787456)
1479,延三觀光夜市,POINT (121.511221 25.063626)
3869,下竹圍,POINT (121.493374883169 25.0978739665635)
50500,將軍嶺,POINT (121.590016770287 25.0738091792986)
1000973,中山女高,POINT (121.53702 25.04943)
707,沙崙,POINT (121.56677 25.11344)
1001411,名門社區,POINT (121.567900817651 25.0046374220822)
1000067,中華路北站,POINT (121.509322 25.044911)
8618,內湖國中,POINT (121.587823 25.077019)
7255,士林高商,POINT (121.517616379607 25.0939491036857)
1133,達人女中(臺灣�,POINT (121.5868 25.08114)
8615,康寧AIT社區,POINT (121.598491 25.078822)
8625,涼州重慶路口,POINT (121.513605079693 25.0605894360848)
2538,興隆國小,POINT (121.553320341619 25.001170583814)
15109,青峰活動中心,POINT (121.551300770113 25.0150823103398)
2127,信義建國路口,POINT (121.539242912058 25.0333509862564)
2512,萬壽橋頭(新光),POINT (121.57363 24.993482)
6685,衡陽路口,POINT (121.513237 25.042073)
1000224,新湖三路口(台�,POINT (121.57748 25.062864)
1000237,芝麻大廈,POINT (121.544087746624 25.0489114157679)
835,菁山二,POINT (121.558929 25.146411)
6697,南京新生北路�,POINT (121.528271288942 25.0509498852142)
5,幼華高中(北投),POINT (121.496765 25.134217)
2024,龍口市場,POINT (121.511719657277 25.0290860685719)
1000095,大理高中,POINT (121.491328 25.031919)
2089,忠孝大道路口,POINT (121.581591492252 25.0424961117643)
50431,台北企業總部�,POINT (121.587349 25.058184)
761,後港里,POINT (121.518166449074 25.0891165788355)
6702,捷運松江南京�,POINT (121.533084054446 25.0517707653964)
2063,市政府(市府),POINT (121.563696 25.038343)
1000294,吳興街口,POINT (121.55860014236 25.031594060798)
9450,外雙溪(至善),POINT (121.547708329452 25.0989004869266)
6992,復興南路（中�,POINT (121.54399 25.04531)
1066,臺大癌醫,POINT (121.543621 25.014313)
6026,捷運古亭站(和�,POINT (121.523152 25.027172)
1000251,南港軟體園區�,POINT (121.614112062159 25.0586133398695)
9453,芝山公園,POINT (121.53403027856 25.1013577717192)
1562,健康新城,POINT (121.56266212764 25.053978139125)
157,立農國小,POINT (121.503614 25.117304)
1001294,國軍北投醫院,POINT (121.510043 25.139978)
6654,進安公園,POINT (121.537726965 25.0460515589067)
2463,景美國小(景興),POINT (121.5424784332 24.9898249019515)
1837,環南市場,POINT (121.493132 25.028426)
20363,中興中學,POINT (121.543093 25.0481325402266)
50535,中央站,POINT (121.56162 25.10754)
9457,楓林橋,POINT (121.58389 25.11686)
1001191,教師中心,POINT (121.54798 25.14998)
2119,捷運信義安和�,POINT (121.551363 25.033133)
50640,葫東重慶路口,POINT (121.512041532609 25.0846154564025)
1153,麗山街,POINT (121.571404485583 25.0814756539655)
20423,捷運昆陽站,POINT (121.59306 25.050052)
50643,百齡里,POINT (121.519514924463 25.0849836960001)
4725,天公堂,POINT (121.62076 25.03724)
337,仁愛復興路口(�,POINT (121.543165 25.037854)
4828,永吉松信路口,POINT (121.571998498081 25.0449255890073)
1134,衛勤訓練中心,POINT (121.602349 25.073588)
4643,中正新城,POINT (121.50329130959 25.02478844291)
16206,中華路北站,POINT (121.509565 25.045693)
16261,大同大學,POINT (121.524046145192 25.068603215907)
1804,華江高中(西園),POINT (121.495950804601 25.0296582647227)
2333,新民國小,POINT (121.53203 25.0225253793203)
1723,舊莊,POINT (121.622839654618 25.0381114185107)
6021,復興南路口,POINT (121.542335337558 25.0251672390616)
9493,雙溪別墅,POINT (121.557193885943 25.1054901719518)
5981,永倫里(延平),POINT (121.500763103686 25.0912493796071)
1433,污水處理廠,POINT (121.511729887369 25.0760012127868)
1000035,興隆國小,POINT (121.553052953519 25.0015186015124)
1463,捷運雙連站,POINT (121.518701313401 25.0572146382572)
2072,市議會,POINT (121.562097736356 25.0370286899675)
4859,福德坑環保復�,POINT (121.589520242313 25.0069115667406)
885,聖人橋,POINT (121.58778 25.12488)
1647,南港分局(向陽),POINT (121.593856229756 25.0558033783871)
2155,捷運後山埤站(�,POINT (121.581945222038 25.04523472781)
3277,48號公園,POINT (121.512447 25.142631)
1505,酒泉重慶路口,POINT (121.51367 25.0733270570207)
1000698,捷運西湖站,POINT (121.565884872161 25.0821974042872)
1873,財政大樓,POINT (121.515374801215 25.0335650280822)
2232,臺灣科技大學,POINT (121.540464038545 25.0141515596899)
728,東吳大學(錢穆�,POINT (121.541294 25.097445)
50124,捷運南港站,POINT (121.60835 25.052114)
15113,松山車站(松山),POINT (121.577912859677 25.0472692357303)
1615,修德國小,POINT (121.58948692688 25.0466220947386)
20239,後山,POINT (121.558360102294 25.1847780867522)
16018,圓環(重慶),POINT (121.514031967141 25.0530701033254)
6947,廈門街口,POINT (121.518122891823 25.0253460083337)
50668,泉源3號橋,POINT (121.522365 25.15026)
20297,臥龍富陽街口,POINT (121.557209 25.018381)
1057,捷運東湖站(南�,POINT (121.611573583354 25.0672071869982)
5991,社子消防分隊,POINT (121.511345037149 25.079411749391)
1272,林森北路一,POINT (121.52513189095 25.0503713078227)
1000126,捷運大直站,POINT (121.546139731473 25.0799238282333)
2523,滬江中學,POINT (121.53972952341 24.9908887774215)
1840,雙園街口,POINT (121.49425 25.03129)
200005030,南京寧安街口�,POINT (121.552898 25.051534)
8677,三總內湖站,POINT (121.592022921474 25.071887081337)
2126,信義杭州路口,POINT (121.524643024047 25.035371875347)
14638,關渡,POINT (121.464792 25.12378)
1001287,文德二號公園,POINT (121.583650029078 25.0769776950885)
5975,富洲里八段,POINT (121.484392240653 25.1058283207965)
1000521,萬壽橋頭(木柵),POINT (121.570973 24.991309)
7607,中山國小,POINT (121.525922933696 25.0635492298867)
6732,成福路口,POINT (121.588445117812 25.0395580004129)
14617,福德廟(行義),POINT (121.526110565483 25.124595310374)
774,風櫃嘴,POINT (121.597276 25.132229)
660,外雙溪(故宮),POINT (121.546828656344 25.0971722381372)
1938,河堤國小,POINT (121.52355 25.0224430804531)
735,明德樂園,POINT (121.56491 25.11293)
9492,劍南橋,POINT (121.55737 25.10712)
7614,華山公園,POINT (121.524405 25.048095)
2143,國稅局宿舍,POINT (121.575161 25.034072)
50004,捷運南京復興�,POINT (121.543561439976 25.0518040049938)
4133,兒童新樂園,POINT (121.515234 25.096205)
492,福安宮,POINT (121.5046188049 25.130648566326)
9423,溪山派出所,POINT (121.58447 25.11958)
9402,大直美堤花園�,POINT (121.55904 25.079853)
3924,國華新村,POINT (121.587959473232 25.0491100515487)
8534,明湖國中,POINT (121.611642 25.070261)
7003,中港抽水站,POINT (121.55285194448 24.9869907607526)
2150,捷運市政府站,POINT (121.565313 25.041016)
1000396,捷運忠孝新生�,POINT (121.532494685981 25.0399813669836)
16001,松山農會,POINT (121.574014925391 25.0500527187499)
50647,三玉宮,POINT (121.531111128801 25.1182106430963)
8545,麗山新村,POINT (121.57426746379 25.08522465742)
2219,公館,POINT (121.538039495701 25.0121624746689)
4081,民權建國路口,POINT (121.537454361169 25.062398683543)
9440,通北街口,POINT (121.541207 25.080588)
1408,天師宮,POINT (121.510834873882 25.0680695642224)
7249,宏國新村,POINT (121.520510459774 25.115554)
2210,仁愛國中,POINT (121.552275 25.03658)
2499,萬芳路口,POINT (121.571655601024 24.9933993369535)
1065,臺大癌醫,POINT (121.543749 25.014422)
16201,朝陽公園(鈕釦�,POINT (121.514105178757 25.0557552348588)
50160,南京公寓(捷運�,POINT (121.564885830056 25.0515022445327)
6680,信義國中(松仁),POINT (121.56826 25.028959)
4831,中油大樓,POINT (121.5694637619 25.039171156731)
6707,捷運行天宮站,POINT (121.533106340779 25.0605355993267)
1333,大直美堤花園�,POINT (121.55565762442 25.080032815073)
200005044,松山車站2,POINT (121.577971 25.049799)
1079,國立台灣戲曲�,POINT (121.58736 25.08164)
50667,捷運芝山站(福�,POINT (121.524115084655 25.102203295336)
6024,溫州街口,POINT (121.532635399452 25.0265301955329)
14614,明山宮,POINT (121.529142053517 25.1279866472913)
1000632,莊敬里,POINT (121.565485350232 25.065115732412)
1982,捷運中正紀念�,POINT (121.518848 25.032297)
629,文化大學,POINT (121.546477411045 25.1380882816813)
8604,中華航空,POINT (121.555821902756 25.0621221973711)
50002,南京龍江路口,POINT (121.540168930921 25.0518883069867)
1915,成功中學(濟南),POINT (121.523514452765 25.0423677562812)
1000169,明倫高中,POINT (121.52002824179 25.0741702643051)
7218,行義路一,POINT (121.52843412784 25.1327698663882)
1026,石潭公園,POINT (121.59311 25.06211)
624,中影文化城,POINT (121.54455 25.09704)
16013,南京林森路口,POINT (121.525711828244 25.0521143687988)
9417,翠山街,POINT (121.568725419643 25.107407859001)
9452,惠濟宮,POINT (121.53164 25.10193)
50639,士林簡易庭,POINT (121.51311321714 25.0819791792486)
2270,青年活動中心,POINT (121.544367245818 25.0206140160604)
7257,重陽橋,POINT (121.508523654187 25.0868183795616)
200005026,南京敦化路口(�,POINT (121.55153 25.051836)
2522,實踐國中,POINT (121.554206953881 24.9843744621288)
1458,馬偕醫院,POINT (121.521397056633 25.0575586307667)
9406,濱江國中,POINT (121.56124693981 25.0799717884351)
2542,興德國小,POINT (121.55032611296 25.0009310782723)
2329,信義敦化路口,POINT (121.549360771729 25.0332776013557)
2230,台電大樓,POINT (121.530644248556 25.0186485379107)
2211,安和敦化路口,POINT (121.549163054395 25.0393355233023)
468,聖人瀑布,POINT (121.587645 25.127092)
575,士林區行政中�,POINT (121.520212641821 25.093779781046)
6700,吉林國小,POINT (121.527271134322 25.0534203969804)
2112,信義大安路口,POINT (121.545769715932 25.0332323295495)
2339,金山泰安街口,POINT (121.528677036734 25.0397899073448)
50442,明湖國小(公共�,POINT (121.609308386226 25.0718101504888)
1346,中原街口(老人�,POINT (121.52925 25.0581846896602)
1453,庫倫街口,POINT (121.519216537648 25.0725860525549)
56107,木柵,POINT (121.566361887311 24.9886959689342)
1000064,中山市場,POINT (121.521962667877 25.0512348239733)
1427,民權大龍街口,POINT (121.516469071555 25.0629824859845)
2323,第二殯儀館,POINT (121.553194 25.0136220804531)
1542,東興路一,POINT (121.56523 25.05013)
1000806,捷運松江南京�,POINT (121.533013604213 25.0523214610139)
1551,南京新村,POINT (121.556952 25.052989)
200005074,臺北市立圖書�,POINT (121.513281 25.0742011722357)
10202,建成公園,POINT (121.518448151682 25.0545357532404)
1611,中研新村,POINT (121.61555 25.04483)
165,成淵高中,POINT (121.518152 25.062226)
9451,名山里,POINT (121.529402 25.102102)
570,台北美國 / 日�,POINT (121.52797 25.11588)
2521,木南公園,POINT (121.57011 24.984828)
1000436,貓纜動物園站,POINT (121.576778 24.9968)
7217,行義路二,POINT (121.528711284409 25.1357629484952)
2044,101國際購物中�,POINT (121.565536 25.034635)
1029,成功路三段,POINT (121.590237732669 25.0802795568852)
8517,紫雲里,POINT (121.600002 25.078043)
1575,捷運中山國中�,POINT (121.544363 25.060913)
20403,仁愛林森路口,POINT (121.521603 25.039391)
1000079,捷運西門站,POINT (121.508267 25.042517)
2351,懷生國中,POINT (121.543566514913 25.0396267981745)
2362,力行國小,POINT (121.560289 24.981661)
1000037,興隆市場,POINT (121.54743643059 24.9996062345646)
20265,榮星花園(民權),POINT (121.540524621576 25.0625034822728)
1000446,辛亥國小,POINT (121.55889371341 25.0072832195933)
1978,捷運中正紀念�,POINT (121.517331 25.033744)
3906,和平西路一段,POINT (121.517503604877 25.0266378181032)
6678,捷運東門站(金�,POINT (121.527242 25.03323)
941,聯合醫院陽明�,POINT (121.530588 25.105383)
2353,捷運台電大樓�,POINT (121.528899019871 25.0200087711695)
50654,石油新村,POINT (121.52629609326 25.107070299874)
200005072,遠東國際飯店,POINT (121.54926 25.02644)
739,社子派出所,POINT (121.505971 25.08943)
8410,麗山街,POINT (121.571848063467 25.0811065123022)
1089,捷運葫洲站(康�,POINT (121.607465 25.072468)
803,捷運劍潭站(中�,POINT (121.525327 25.085353)
1000170,捷運劍潭站(基�,POINT (121.52477 25.084918)
113,北投公園,POINT (121.50435 25.136505)
358,捷運北投站(北�,POINT (121.497963 25.132266)
1000399,寧波重慶路口,POINT (121.51556584788 25.0291448450732)
10415,中原街口(老人�,POINT (121.529311770113 25.0577993103398)
1000389,大愛電視臺,POINT (121.471449 25.123677)
1233,民族東路口,POINT (121.527602 25.067377)
1000329,民權復興路口,POINT (121.544702 25.062184)
6945,河堤國小,POINT (121.523324397406 25.0230486091138)
2384,木柵市場,POINT (121.568689 24.987972)
2122,信義行政中心(�,POINT (121.568446471104 25.0336908507959)
8626,捷運大橋頭站,POINT (121.513486420414 25.0644570326207)
50051,公務人員訓練�,POINT (121.562161744593 25.0020116998363)
2102,松平路口,POINT (121.568183 25.030967)
2262,忠孝敦化路口,POINT (121.548787 25.042116)
2408,辛亥國小,POINT (121.558384864637 25.0067948641758)
4636,西藏路,POINT (121.501589477816 25.0297142959551)
318,振興醫院,POINT (121.52192449073 25.117647428703)
683,永嶺,POINT (121.545213090496 25.1068495776368)
2034,大道路,POINT (121.582657 25.040208)
1000554,力行國小,POINT (121.559784481247 24.9813996068244)
1000348,中正高中,POINT (121.517376 25.105815)
200000033,臺北市立圖書�,POINT (121.57757 25.04307)
1000057,捷運大安森林�,POINT (121.53542 25.033564)
3915,頂好市場,POINT (121.54761 25.041444)
2344,龍安國小(公務�,POINT (121.534532424831 25.0246818631995)
1001375,南港高工(重陽),POINT (121.605866 25.058039)
699,百齡里,POINT (121.519304591793 25.0852440713026)
94,文林國小,POINT (121.5151 25.107084)
1762,昆明街口,POINT (121.501992525075 25.0352801897033)
4663,萬芳6號公園,POINT (121.569055 24.999654)
1588,新東街口,POINT (121.566585128664 25.0590036902493)
6670,信義新生路口,POINT (121.532865892606 25.0332344200734)
1438,延平國小,POINT (121.510953485018 25.066175494247)
1367,新生公園(建國),POINT (121.53443531034 25.0666543103398)
56100,考試院,POINT (121.550077359064 24.98759233313)
50003,西松國小,POINT (121.563928951426 25.0527204703959)
2085,富陽街口,POINT (121.555945868717 25.0209768834573)
1000547,滬江中學,POINT (121.540334491466 24.9909757627712)
378,捷運後山埤站(�,POINT (121.583031780375 25.0452074898052)
4004,臺北市區監理�,POINT (121.560263 25.048547)
3965,捷運復興崗站,POINT (121.48494894973 25.138009138037)
591,士林簡易庭,POINT (121.512430812089 25.081845235369)
2018,螢橋國小,POINT (121.514768192888 25.0259801397445)
60124,市民住宅,POINT (121.557691089447 25.036676423365)
1322,美麗華,POINT (121.558119 25.084817)
968,大湖,POINT (121.60018325893 25.0845408538421)
9446,雙溪公園,POINT (121.5381 25.098072)
1441,昌吉重慶路口,POINT (121.513757562654 25.0657941207008)
1000082,臺北車站(忠孝),POINT (121.516789 25.046597)
50522,冷水坑服務站,POINT (121.56331 25.16609)
2204,仁愛建國路口�,POINT (121.539456869107 25.0385769832791)
1000225,行忠路口,POINT (121.576262148653 25.0643684914373)
2139,消防局(松仁),POINT (121.568621 25.039991)
1891,臺北車站(重慶),POINT (121.513205815407 25.0465655988455)
15108,臺大資訊大樓,POINT (121.540919 25.021046)
3993,國泰新村(木新),POINT (121.561776294165 24.9818487753714)
10001486,振興公園,POINT (121.52352 25.1186430804531)
1347,中山老人住宅,POINT (121.52728 25.0572)
3891,舊莊國小,POINT (121.62114672144 25.0392987300431)
20341,木新區民活動�,POINT (121.556553850566 24.9819407701133)
4824,紗帽馬場,POINT (121.532654 25.140401)
1000858,興德國小,POINT (121.550060777887 25.0010659033951)
1634,松山磚廠,POINT (121.584201721401 25.052203296391)
4825,雅祥公園,POINT (121.5721 25.04775)
50680,政大附中,POINT (121.585645149434 24.9864710804531)
50047,萬寧山莊,POINT (121.570527122513 25.0042682556414)
57711,自來水事業處,POINT (121.547137257776 25.0143280602315)
50085,忠義新村,POINT (121.501834086753 25.1256094186062)
2464,景美國中,POINT (121.542708979168 24.9926887149578)
4627,華江高中(西園),POINT (121.496162828269 25.0295844111411)
4005,光復路口,POINT (121.556757647016 25.0481511469676)
1000186,民權龍江路口,POINT (121.540554014847 25.0623255291835)
50057,北投國小,POINT (121.501314604084 25.133651501869)
50014,松山磚廠,POINT (121.585050803739 25.0526502598819)
1861,仁愛中山路口,POINT (121.518206656799 25.0394725015802)
2269,金山潮州街口,POINT (121.526055437901 25.0282552713839)
